Latitude,Longitude,City,Community,ProjectName,Q1Enrollments,Q2Enrollments,Q3Enrollments
33.91222199,-118.264927,Los Angeles,Willowbrook,CA1104 Avalon Apartments,NULL,NULL,NULL
33.96003601,-118.415816,Los Angeles,Westchester/Playa,Measure H 205 Pathways to Independence A,NULL,2,NULL
34.03472502,-118.1616742,Los Angeles,East Los Angeles,Measure H 204 Pathways to Independence B,3,5,1
33.76961698,-118.192008,Long Beach,Long Beach,SSVF RRH LB,NULL,2,NULL
33.76627302,-118.1914,Long Beach,Long Beach,SSVF RRH 20CA017,76,150,54
34.04887199,-118.227871,Los Angeles,Boyle Heights,Womens Shelter Program,NULL,NULL,NULL
34.013654,-118.489091,Santa Monica,Santa Monica,DMH Interim Housing Samoshel,2,2,1
34.01278999,-118.27611,Los Angeles,Historic South-Central,Exodus Reserve Beds,2,6,NULL
34.04411899,-118.245439,Los Angeles,Downtown,Housing For Health Access Emergency,6,6,4
34.04283824,-118.2434449,Los Angeles,Downtown,CES Bridge Housing Program Reserved Village,1,NULL,NULL
34.01278999,-118.27611,Los Angeles,Historic South-Central,CES Bridge Housing Program Reserved,2,13,NULL
34.21256552,-118.3889442,Los Angeles,Sun Valley,CES Bridge Housing Program Path to Home Reserved,1,6,2
34.07748101,-118.289011,Los Angeles,East Hollywood,CES Bridge Housing Hollywood Reserved,2,NULL,NULL
34.07748101,-118.289011,Los Angeles,East Hollywood,CES Crisis Housing Program Los Angeles,1,NULL,NULL
33.98934409,-118.1639331,Bell,Bell,CES Bridge Housing Program Reserved,1,5,2
33.99045901,-118.309132,Los Angeles,Chesterfield Square,CES Crisis Housing Program CITY,8,20,1
34.1749543,-118.3172747,Burbank,Burbank,CES Transitional Housing Program Hope of the Valley SPA 2,5,7,NULL
33.92454021,-118.254409,Los Angeles,Green Meadows,CA0466 South Central Access Center - Supportive Services,1,NULL,1
34.15824501,-118.133439,Pasadena,Pasadena,USHS Housing For Health,22,4,2
33.95879462,-118.0849578,Santa Fe Springs,Santa Fe Springs,CA0465 Shelter Plus Care,NULL,NULL,NULL
34.03675498,-118.436977,Los Angeles,West Los Angeles,WLA Harm Reduction,NULL,NULL,NULL
