csa,city,csa_label,lat,long,TOTAL,RE_UNK,RE_AI_AN,RE_AS,RE_BL_AA,RE_MR,RE_WH,RE_HI_LA,RE_NH_PI,AB_UNK,AB_LT18,AB_18_24,AB_25_39,AB_40_54,AB_55_64,AB_GT65,Individual,Family,ST_PH,ST_IH,OC_PH,OC_IH
East Rancho Dominguez,Unincorporated,Unincorporated - East Rancho Dominguez,33.8948561,-118.195596,34,1,1,0,11,0,8,13,0,0,0,0,6,9,11,8,34,0,0,34,0,13
Echo Park,Los Angeles,Los Angeles - Echo Park,34.08217654,-118.2550011,125,4,1,1,23,1,6,89,0,1,58,9,26,20,9,2,31,94,26,99,0,45
El Monte,El Monte,City of El Monte,34.07394729,-118.0290743,35,0,0,0,10,1,8,15,1,2,12,3,7,1,9,1,19,16,15,20,1,1
El Segundo,El Segundo,City of El Segundo,33.91689825,-118.402004,91,3,0,0,70,0,8,10,0,0,0,1,16,34,32,8,90,1,0,91,0,19
El Sereno,Los Angeles,Los Angeles - El Sereno,34.08111126,-118.1775163,98,4,0,3,7,0,10,74,0,0,0,1,23,38,26,10,98,0,0,98,0,98
Exposition,Los Angeles,Los Angeles - Exposition,34.02662391,-118.3497778,28,0,0,1,12,0,11,4,0,0,0,0,3,2,17,6,28,0,28,0,0,0
Exposition Park,Los Angeles,Los Angeles - Exposition Park,34.01859955,-118.2979186,292,2,2,4,176,3,31,72,2,0,0,29,94,91,68,10,291,1,61,231,3,192
Figueroa Park Square,Los Angeles,Los Angeles - Figueroa Park Square,33.93255929,-118.286739,5,0,0,0,1,0,2,2,0,0,0,0,0,1,4,0,5,0,0,5,0,0
Florence-Firestone,Los Angeles,Los Angeles - Florence-Firestone,33.97489626,-118.2673756,117,2,0,1,90,0,8,16,0,0,15,18,30,30,19,5,89,28,78,39,0,19
Florence-Firestone,Unincorporated,Unincorporated - Florence-Firestone,33.96813644,-118.2446288,23,0,0,0,0,5,0,18,0,0,15,0,6,2,0,0,3,20,0,23,0,0
Glendale,Glendale,City of Glendale,34.18192389,-118.2467993,4,0,0,0,3,0,1,0,0,0,0,0,0,0,2,2,4,0,0,4,0,0
Green Meadows,Los Angeles,Los Angeles - Green Meadows,33.95073337,-118.2631438,28,0,1,2,15,0,5,5,0,0,0,0,0,0,17,11,28,0,0,28,0,8
Hacienda Heights,Unincorporated,Unincorporated - Hacienda Heights,34.00010691,-117.978306,299,7,3,6,49,12,79,142,1,0,5,7,53,111,81,42,291,8,0,299,0,91
Harbor Gateway,Los Angeles,Los Angeles - Harbor Gateway,33.86647713,-118.2946644,73,1,0,1,34,1,24,11,1,0,0,0,2,0,45,26,73,0,73,0,2,0
Harvard Heights,Los Angeles,Los Angeles - Harvard Heights,34.04358242,-118.3046444,51,0,0,0,29,1,9,12,0,0,0,4,16,15,14,2,51,0,19,32,0,13
Harvard Park,Los Angeles,Los Angeles - Harvard Park,33.98185888,-118.2980161,380,6,1,0,278,8,20,65,2,0,21,51,117,90,75,26,340,40,26,354,2,195
