csa,lat,long,es_20200107_roc,th_20200107_roc,psh_20200107_roc,es_20200108_roc,th_20200108_roc,psh_20200108_roc,es_20200109_roc,th_20200109_roc,psh_20200109_roc,es_20200210_roc,th_20200210_roc,psh_20200210_roc,es_20200211_roc,th_20200211_roc,psh_20200211_roc,es_20200212_roc,th_20200212_roc,psh_20200212_roc,es_20200301_roc,th_20200301_roc,psh_20200301_roc,es_20200302_roc,th_20200302_roc,psh_20200302_roc,es_20200303_roc,th_20200303_roc,psh_20200303_roc,es_20200404_roc,th_20200404_roc,psh_20200404_roc,es_20200405_roc,th_20200405_roc,psh_20200405_roc,es_20200406_roc,th_20200406_roc,psh_20200406_roc,es_cur_csa,inflow_202001,inflow_202002,inflow_202003,inflow_202004
Exposition Park,34.01859955,-118.2979186,140,-50,0,140,-50,0,140,-50,0,140,-50,0,140,-50,0,140,-50,0,140,-50,0,140,-50,0,140,-50,0,140,-50,0,140,-50,0,140,-50,0,24,26,26,26,26
Florence-Firestone,33.97489626,-118.2673756,-87.5,0,0,-87.5,0,0,-87.5,0,0,-87.5,0,0,-87.5,0,0,-87.5,0,0,-87.5,0,0,-87.5,0,0,-87.5,0,0,-87.5,0,0,-87.5,0,0,-87.5,0,0,1,4,4,4,4
Glendale,34.18192389,-118.2467993,133.33,0,0,133.33,0,0,133.33,0,0,133.33,0,0,133.33,0,0,133.33,0,0,133.33,0,0,133.33,0,0,133.33,0,0,133.33,0,0,133.33,0,0,133.33,0,0,7,7,7,7,7
Granada Hills,34.29105295,-118.5041496,-92.86,0,250,-92.86,0,250,-92.86,0,250,-92.86,0,250,-92.86,0,250,-92.86,0,250,-92.86,0,250,-92.86,0,250,-92.86,0,250,-92.86,0,250,-92.86,0,250,-92.86,0,250,2,2,2,2,2
Green Meadows,33.95073337,-118.2631438,600,0,0,600,0,0,600,0,0,600,0,0,600,0,0,600,0,0,600,0,0,600,0,0,600,0,0,600,0,0,600,0,0,600,0,0,7,7,7,7,7
Hacienda Heights,34.00010691,-117.978306,-78.57,0,0,-78.57,0,0,-78.57,0,0,-78.57,0,0,-78.57,0,0,-78.57,0,0,-78.57,0,0,-78.57,0,0,-78.57,0,0,-78.57,0,0,-78.57,0,0,-78.57,0,0,15,15,15,15,15
Harbor Gateway,33.86647713,-118.2946644,-11.11,0,0,-11.11,0,0,-11.11,0,0,-11.11,0,0,-11.11,0,0,-11.11,0,0,-11.11,0,0,-11.11,0,0,-11.11,0,0,-11.11,0,0,-11.11,0,0,-11.11,0,0,8,8,8,8,8
Harvard Heights,34.04358242,-118.3046444,-66.67,0,0,-66.67,0,0,-66.67,0,0,-66.67,0,0,-66.67,0,0,-66.67,0,0,-66.67,0,0,-66.67,0,0,-66.67,0,0,-66.67,0,0,-66.67,0,0,-66.67,0,0,1,1,1,1,1
Harvard Park,33.98185888,-118.2980161,0,-100,-10.67,0,-100,-10.67,0,-100,-10.67,0,-100,-10.67,0,-100,-10.67,0,-100,-10.67,0,-100,-10.67,0,-100,-10.67,0,-100,-10.67,0,-100,-10.67,0,-100,-10.67,0,-100,-10.67,32,32,32,32,32
Hawthorne,33.91464836,-118.3476948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Historic Filipinotown,34.07024541,-118.2710765,366.67,-62.5,0,366.67,-62.5,0,366.67,-62.5,0,366.67,-62.5,0,366.67,-62.5,0,366.67,-62.5,0,366.67,-62.5,0,366.67,-62.5,0,366.67,-62.5,0,366.67,-62.5,0,366.67,-62.5,0,366.67,-62.5,0,14,17,17,17,17
Hollywood,34.10030166,-118.3538584,30.3,-50,23.78,30.3,-50,23.78,30.3,-50,23.78,30.3,-50,23.78,30.3,-50,23.78,30.3,-50,23.78,30.3,-50,23.78,30.3,-50,23.78,30.3,-50,23.78,30.3,-50,23.78,30.3,-50,23.78,30.3,-50,23.78,43,45,45,45,45
Inglewood,33.9565274,-118.3444722,100,87.5,0,100,87.5,0,100,87.5,0,100,87.5,0,100,87.5,0,100,87.5,0,100,87.5,0,100,87.5,0,100,87.5,0,100,87.5,0,100,87.5,0,100,87.5,0,2,17,17,17,17
Jefferson Park,34.02425004,-118.3227686,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,6,6,6,6
Koreatown,34.05458833,-118.3043457,-50,0,0,-50,0,0,-50,0,0,-50,0,0,-50,0,0,-50,0,0,-50,0,0,-50,0,0,-50,0,0,-50,0,0,-50,0,0,-50,0,0,3,3,3,3,3
Lakeview Terrace,34.27465021,-118.3739795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
Lancaster,34.69346453,-118.17534,295,-66.67,0,295,-66.67,0,295,-66.67,0,295,-66.67,0,295,-66.67,0,295,-66.67,0,295,-66.67,0,295,-66.67,0,295,-66.67,0,295,-66.67,0,295,-66.67,0,295,-66.67,0,79,80,80,80,80
Lawndale,33.8884623,-118.3531559,-60.26,0,0,-60.26,0,0,-60.26,0,0,-60.26,0,0,-60.26,0,0,-60.26,0,0,-60.26,0,0,-60.26,0,0,-60.26,0,0,-60.26,0,0,-60.26,0,0,-60.26,0,0,31,31,31,31,31
Lawndale,33.8884623,-118.3531559,-60.26,0,0,-60.26,0,0,-60.26,0,0,-60.26,0,0,-60.26,0,0,-60.26,0,0,-60.26,0,0,-60.26,0,0,-60.26,0,0,-60.26,0,0,-60.26,0,0,-60.26,0,0,31,31,31,31,31
Leimert Park,34.00603323,-118.3245302,36.36,0,200,36.36,0,200,36.36,0,200,36.36,0,200,36.36,0,200,36.36,0,200,36.36,0,200,36.36,0,200,36.36,0,200,36.36,0,200,36.36,0,200,36.36,0,200,15,15,15,15,15
Lincoln Heights,34.08115569,-118.2053647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Little Bangladesh,34.06537767,-118.3003769,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,50,0,0,3,3,3,3,3
Little Tokyo,34.04699403,-118.2415978,300,0,0,300,0,0,300,0,0,300,0,0,300,0,0,300,0,0,300,0,0,300,0,0,300,0,0,300,0,0,300,0,0,300,0,0,8,8,8,8,8
